md_thresh,batch_size,model_backbone,transfer_learning_rate,finetune_learning_rate,transfer_epochs,finetune_epochs,finetune_layers,transfer_patience,finetune_patience,acc,prec,rec,f1,phase
0.3966666666666667,32,xception,1.6681005372000593e-05,0.005,10,0,0,2,2,0.8897338403041825,0.8720768369036871,0.6833028576788601,0.7466985254447132,2
0.7832323232323233,32,xception,0.001,0.005,10,0,0,2,2,0.8319391634980988,0.7113015587084226,0.6904784755777138,0.6543765153282743,2
0.1809090909090909,32,xception,0.0003593813663804,0.005,10,0,0,2,2,0.8661596958174905,0.8386160900554259,0.7429391133514363,0.7738341758634459,2
0.8821212121212122,32,xception,7.742636826811278e-05,0.005,10,0,0,2,2,0.8958174904942966,0.8313085738488392,0.8097637437937492,0.81422238261545,2
0.5135353535353536,32,xception,0.0005994842503189,0.005,10,0,0,2,2,0.8220532319391635,0.7084395286071083,0.7023039933182609,0.6699046244326116,2
0.6034343434343434,32,xception,1.6681005372000593e-05,0.005,10,0,0,2,2,0.8866920152091254,0.8316850600860584,0.6891471308480464,0.7359580267140557,2
0.5315151515151515,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8844106463878327,0.7957000425511467,0.809930121872116,0.7974102177618212,2
0.3966666666666667,32,xception,1e-05,0.005,10,0,0,2,2,0.8722433460076046,0.7138876248285653,0.6162814152689855,0.6544892417035505,2
0.4146464646464647,32,xception,1e-05,0.005,10,0,0,2,2,0.870722433460076,0.7009952804975266,0.620349196481915,0.653578637934457,2
0.3337373737373738,32,xception,0.0003593813663804,0.005,10,0,0,2,2,0.8844106463878327,0.7999472475711445,0.8016160259886871,0.790261436979417,2
0.7382828282828283,32,xception,1.6681005372000593e-05,0.005,10,0,0,2,2,0.8851711026615969,0.85366226577232,0.7275829412883342,0.7800535656594435,2
0.1179797979797979,32,xception,0.0003593813663804,0.005,10,0,0,2,2,0.8524714828897338,0.7666027862114269,0.7723854502798969,0.7553309603680203,2
0.1719191919191919,32,xception,1.6681005372000593e-05,0.005,10,0,0,2,2,0.8783269961977186,0.8256716639870847,0.703399613014355,0.7415425846077679,2
0.1629292929292929,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8950570342205323,0.8489613188549505,0.7419586240865645,0.788190239774014,2
0.6124242424242424,32,xception,1.6681005372000593e-05,0.005,10,0,0,2,2,0.8859315589353612,0.7311183440080058,0.6519784158700892,0.6839490630196896,2
0.4775757575757576,32,xception,1.6681005372000593e-05,0.005,10,0,0,2,2,0.8889733840304183,0.8609193331595059,0.7055942443856772,0.7568805917550477,2
0.7292929292929293,32,xception,0.0001291549665014,0.005,10,0,0,2,2,0.8889733840304183,0.8196888410050134,0.8215874418886648,0.8184862865948762,2
0.4416161616161617,32,xception,1.6681005372000593e-05,0.005,10,0,0,2,2,0.8821292775665399,0.840041276477838,0.729090661135903,0.7732758164871004,2
0.4595959595959596,32,xception,0.0003593813663804,0.005,10,0,0,2,2,0.8790874524714829,0.8260636435764674,0.7410109876328801,0.7657650069898267,2
